year,total,computer science,sociology,behavioral science,social science and other topics,psychology,business economics,mathematics,science technology and other topics,mathematical computational biology,social issues,communication,engineering,health care sciences services,anthropology,information science library science,public environmental occupational health,environmental sciences ecology,education educational research,pediatrics,telecommunications,government law,demography,infectious diseases,public administration,mathematical methods in social sciences,other
2018,237,84,43,41,42,40,42,60,26,27,16,15,19,14,16,19,12,17,12,11,15,8,7,6,7,8,77
2017,225,75,46,44,44,41,45,33,22,23,15,22,15,13,12,19,9,17,14,4,11,8,8,5,6,8,59
2016,224,80,48,54,46,48,40,43,27,25,21,27,21,17,10,14,13,8,11,8,7,6,6,7,5,6,68
2015,235,79,50,51,55,53,36,32,34,29,22,16,20,13,10,10,12,9,12,9,9,18,10,2,10,3,85
2014,148,51,39,31,40,29,26,27,16,22,18,7,7,11,11,12,9,8,8,5,6,7,4,3,5,4,54
2013,139,29,46,33,30,32,23,22,18,10,11,8,10,9,12,5,10,9,5,6,8,4,5,7,4,5,42
2012,99,22,35,24,21,22,19,17,14,8,13,7,8,5,5,4,6,5,6,8,6,6,2,3,4,2,38
2011,77,16,31,18,24,17,11,13,7,12,5,4,6,5,3,5,5,6,2,5,2,2,1,3,2,5,28
2010,57,18,16,18,12,17,9,7,2,6,10,4,5,6,6,5,3,2,4,5,4,4,3,1,1,0,17
2009,44,12,16,11,14,9,8,7,8,8,5,5,2,1,4,3,1,2,1,3,5,2,0,1,1,1,14
2008,27,6,9,8,9,7,8,2,1,2,3,4,1,2,1,1,0,0,2,2,0,0,2,0,0,1,8
2007,23,3,4,7,3,8,7,4,0,1,2,1,2,1,1,0,1,1,1,3,0,1,0,2,1,2,8
2006,13,2,3,4,3,3,1,1,0,0,1,1,0,0,2,2,0,1,1,2,1,0,0,0,0,0,7
2005,19,4,7,4,6,4,4,1,0,0,5,2,1,2,0,2,0,2,1,1,0,0,1,0,1,0,7
2004,15,0,9,8,4,7,2,1,0,0,3,2,1,2,1,1,1,1,0,2,0,1,0,1,0,0,7
2003,14,0,8,5,4,5,2,0,0,0,2,1,0,1,1,0,1,0,1,3,0,0,1,2,0,0,4
2002,3,0,2,1,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
2001,4,0,3,1,2,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
2000,9,0,5,3,4,3,3,0,0,0,0,1,0,1,2,0,1,0,0,0,0,2,0,0,1,0,0
1999,4,0,0,3,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1998,5,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1997,6,0,1,1,0,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1996,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,2
1995,5,0,4,2,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1994,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1984,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,3,0,1,2,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,2
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1965,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0