field,count,year
NUTRITION DIETETICS,4,2014
OPERATIONS RESEARCH MANAGEMENT SCIENCE,4,2014
PHYSIOLOGY,4,2014
REPRODUCTIVE BIOLOGY,4,2014
BIOCHEMISTRY MOLECULAR BIOLOGY,3,2014
BIOMEDICAL SOCIAL SCIENCES,3,2014
CULTURAL STUDIES,3,2014
GERIATRICS GERONTOLOGY,3,2014
IMMUNOLOGY,3,2014
INFECTIOUS DISEASES,3,2014
PHARMACOLOGY PHARMACY,3,2014
SOCIAL WORK,3,2014
TOXICOLOGY,3,2014
CRIMINOLOGY PENOLOGY,2,2014
ENDOCRINOLOGY METABOLISM,2,2014
ETHNIC STUDIES,2,2014
FAMILY STUDIES,2,2014
GENERAL INTERNAL MEDICINE,2,2014
INTERNATIONAL RELATIONS,2,2014
LINGUISTICS,2,2014
MEDICAL INFORMATICS,2,2014
NEUROSCIENCES NEUROLOGY,2,2014
PHILOSOPHY,2,2014
RESEARCH EXPERIMENTAL MEDICINE,2,2014
SUBSTANCE ABUSE,2,2014
WOMEN S STUDIES,2,2014
ZOOLOGY,2,2014
AGRICULTURE,1,2014
CARDIOVASCULAR SYSTEM CARDIOLOGY,1,2014
CHEMISTRY,1,2014
FILM RADIO TELEVISION,1,2014
HISTORY PHILOSOPHY OF SCIENCE,1,2014
MECHANICS,1,2014
METEOROLOGY ATMOSPHERIC SCIENCES,1,2014
ONCOLOGY,1,2014
PATHOLOGY,1,2014
PSYCHIATRY,1,2014
RELIGION,1,2014
SURGERY,1,2014
THERMODYNAMICS,1,2014
TRANSPORTATION,1,2014
TROPICAL MEDICINE,1,2014
URBAN STUDIES,1,2014
COMPUTER SCIENCE,79,2015
SOCIAL SCIENCES OTHER TOPICS,55,2015
PSYCHOLOGY,53,2015
BEHAVIORAL SCIENCES,51,2015
SOCIOLOGY,50,2015
BUSINESS ECONOMICS,36,2015
SCIENCE TECHNOLOGY OTHER TOPICS,34,2015
MATHEMATICS,32,2015
MATHEMATICAL COMPUTATIONAL BIOLOGY,29,2015
SOCIAL ISSUES,22,2015
ENGINEERING,20,2015
GOVERNMENT LAW,18,2015
COMMUNICATION,16,2015
HEALTH CARE SCIENCES SERVICES,13,2015
EDUCATION EDUCATIONAL RESEARCH,12,2015
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,12,2015
ANTHROPOLOGY,10,2015
DEMOGRAPHY,10,2015
INFORMATION SCIENCE LIBRARY SCIENCE,10,2015
PUBLIC ADMINISTRATION,10,2015
ENVIRONMENTAL SCIENCES ECOLOGY,9,2015
PEDIATRICS,9,2015
TELECOMMUNICATIONS,9,2015
AUTOMATION CONTROL SYSTEMS,7,2015
BIOMEDICAL SOCIAL SCIENCES,7,2015
OPERATIONS RESEARCH MANAGEMENT SCIENCE,7,2015
ROBOTICS,7,2015
PHYSICS,6,2015
ETHNIC STUDIES,5,2015
GENETICS HEREDITY,5,2015
ZOOLOGY,5,2015
CRIMINOLOGY PENOLOGY,4,2015
EVOLUTIONARY BIOLOGY,4,2015
FAMILY STUDIES,4,2015
GENERAL INTERNAL MEDICINE,4,2015
GERIATRICS GERONTOLOGY,4,2015
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,4,2015
NUTRITION DIETETICS,4,2015
PHYSIOLOGY,4,2015
ANATOMY MORPHOLOGY,3,2015
CHEMISTRY,3,2015
GEOGRAPHY,3,2015
MATHEMATICAL METHODS IN SOCIAL SCIENCES,3,2015
PSYCHIATRY,3,2015
REPRODUCTIVE BIOLOGY,3,2015
SOCIAL WORK,3,2015
BIOCHEMISTRY MOLECULAR BIOLOGY,2,2015
BIOPHYSICS,2,2015
IMMUNOLOGY,2,2015
INFECTIOUS DISEASES,2,2015
INTERNATIONAL RELATIONS,2,2015
LINGUISTICS,2,2015
LITERATURE,2,2015
NEUROSCIENCES NEUROLOGY,2,2015
PHARMACOLOGY PHARMACY,2,2015
RELIGION,2,2015
RESEARCH EXPERIMENTAL MEDICINE,2,2015
SPORT SCIENCES,2,2015
SUBSTANCE ABUSE,2,2015
TOXICOLOGY,2,2015
TRANSPORTATION,2,2015
ACOUSTICS,1,2015
AGRICULTURE,1,2015
AREA STUDIES,1,2015
ART,1,2015
ARTS HUMANITIES OTHER TOPICS,1,2015
ASTRONOMY ASTROPHYSICS,1,2015
CONSTRUCTION BUILDING TECHNOLOGY,1,2015
CULTURAL STUDIES,1,2015
DENTISTRY ORAL SURGERY MEDICINE,1,2015
FILM RADIO TELEVISION,1,2015
FOOD SCIENCE TECHNOLOGY,1,2015
HISTORY,1,2015
HISTORY PHILOSOPHY OF SCIENCE,1,2015
IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY,1,2015
MATERIALS SCIENCE,1,2015
MECHANICS,1,2015
PATHOLOGY,1,2015
PLANT SCIENCES,1,2015
REHABILITATION,1,2015
THERMODYNAMICS,1,2015
URBAN STUDIES,1,2015
COMPUTER SCIENCE,80,2016
BEHAVIORAL SCIENCES,54,2016
PSYCHOLOGY,48,2016
SOCIOLOGY,48,2016
SOCIAL SCIENCES OTHER TOPICS,46,2016
MATHEMATICS,43,2016
BUSINESS ECONOMICS,40,2016
COMMUNICATION,27,2016
SCIENCE TECHNOLOGY OTHER TOPICS,27,2016
MATHEMATICAL COMPUTATIONAL BIOLOGY,25,2016
ENGINEERING,21,2016
SOCIAL ISSUES,21,2016
HEALTH CARE SCIENCES SERVICES,17,2016
INFORMATION SCIENCE LIBRARY SCIENCE,14,2016
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,13,2016
EDUCATION EDUCATIONAL RESEARCH,11,2016
ANTHROPOLOGY,10,2016
ENVIRONMENTAL SCIENCES ECOLOGY,8,2016
PEDIATRICS,8,2016
IMMUNOLOGY,7,2016
INFECTIOUS DISEASES,7,2016
TELECOMMUNICATIONS,7,2016
DEMOGRAPHY,6,2016
ETHNIC STUDIES,6,2016
EVOLUTIONARY BIOLOGY,6,2016
GOVERNMENT LAW,6,2016
MATHEMATICAL METHODS IN SOCIAL SCIENCES,6,2016
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,5,2016
OPERATIONS RESEARCH MANAGEMENT SCIENCE,5,2016
PHYSICS,5,2016
PUBLIC ADMINISTRATION,5,2016
AUTOMATION CONTROL SYSTEMS,4,2016
BIOMEDICAL SOCIAL SCIENCES,4,2016
CRIMINOLOGY PENOLOGY,4,2016
GENETICS HEREDITY,4,2016
GERIATRICS GERONTOLOGY,4,2016
NEUROSCIENCES NEUROLOGY,4,2016
REPRODUCTIVE BIOLOGY,4,2016
SOCIAL WORK,4,2016
BIODIVERSITY CONSERVATION,3,2016
CULTURAL STUDIES,3,2016
FILM RADIO TELEVISION,3,2016
GEOGRAPHY,3,2016
TOXICOLOGY,3,2016
ZOOLOGY,3,2016
AGRICULTURE,2,2016
BIOCHEMISTRY MOLECULAR BIOLOGY,2,2016
FAMILY STUDIES,2,2016
INSTRUMENTS INSTRUMENTATION,2,2016
INTERNATIONAL RELATIONS,2,2016
MARINE FRESHWATER BIOLOGY,2,2016
MEDICAL ETHICS,2,2016
ONCOLOGY,2,2016
PLANT SCIENCES,2,2016
ROBOTICS,2,2016
SPORT SCIENCES,2,2016
THERMODYNAMICS,2,2016
ANATOMY MORPHOLOGY,1,2016
ARTS HUMANITIES OTHER TOPICS,1,2016
ASTRONOMY ASTROPHYSICS,1,2016
CHEMISTRY,1,2016
DEVELOPMENT STUDIES,1,2016
FISHERIES,1,2016
FOOD SCIENCE TECHNOLOGY,1,2016
FORESTRY,1,2016
HISTORY,1,2016
LINGUISTICS,1,2016
MATERIALS SCIENCE,1,2016
MEDICAL INFORMATICS,1,2016
METEOROLOGY ATMOSPHERIC SCIENCES,1,2016
NURSING,1,2016
NUTRITION DIETETICS,1,2016
OPTICS,1,2016
PARASITOLOGY,1,2016
PATHOLOGY,1,2016
PHARMACOLOGY PHARMACY,1,2016
PHILOSOPHY,1,2016
PSYCHIATRY,1,2016
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING,1,2016
RELIGION,1,2016
REMOTE SENSING,1,2016
RESEARCH EXPERIMENTAL MEDICINE,1,2016
SUBSTANCE ABUSE,1,2016
THEATER,1,2016
URBAN STUDIES,1,2016
UROLOGY NEPHROLOGY,1,2016
WATER RESOURCES,1,2016
WOMEN S STUDIES,1,2016
COMPUTER SCIENCE,75,2017
SOCIOLOGY,46,2017
BUSINESS ECONOMICS,45,2017
BEHAVIORAL SCIENCES,44,2017
SOCIAL SCIENCES OTHER TOPICS,44,2017
PSYCHOLOGY,41,2017
MATHEMATICS,33,2017
MATHEMATICAL COMPUTATIONAL BIOLOGY,23,2017
COMMUNICATION,22,2017
SCIENCE TECHNOLOGY OTHER TOPICS,22,2017
INFORMATION SCIENCE LIBRARY SCIENCE,19,2017
ENVIRONMENTAL SCIENCES ECOLOGY,17,2017
ENGINEERING,15,2017
SOCIAL ISSUES,15,2017
EDUCATION EDUCATIONAL RESEARCH,14,2017
GEOGRAPHY,14,2017
HEALTH CARE SCIENCES SERVICES,13,2017
ANTHROPOLOGY,12,2017
TELECOMMUNICATIONS,11,2017
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,9,2017
DEMOGRAPHY,8,2017
GOVERNMENT LAW,8,2017
MATHEMATICAL METHODS IN SOCIAL SCIENCES,8,2017
PUBLIC ADMINISTRATION,6,2017
SUBSTANCE ABUSE,6,2017
TOXICOLOGY,6,2017
AUTOMATION CONTROL SYSTEMS,5,2017
INFECTIOUS DISEASES,5,2017
CRIMINOLOGY PENOLOGY,4,2017
ETHNIC STUDIES,4,2017
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,4,2017
PEDIATRICS,4,2017
PHARMACOLOGY PHARMACY,4,2017
ARTS HUMANITIES OTHER TOPICS,3,2017
FILM RADIO TELEVISION,3,2017
IMMUNOLOGY,3,2017
NUTRITION DIETETICS,3,2017
PHYSICS,3,2017
REPRODUCTIVE BIOLOGY,3,2017
ROBOTICS,3,2017
ZOOLOGY,3,2017
EVOLUTIONARY BIOLOGY,2,2017
FAMILY STUDIES,2,2017
FOOD SCIENCE TECHNOLOGY,2,2017
GENETICS HEREDITY,2,2017
GERIATRICS GERONTOLOGY,2,2017
OPERATIONS RESEARCH MANAGEMENT SCIENCE,2,2017
SOCIAL WORK,2,2017
TRANSPORTATION,2,2017
URBAN STUDIES,2,2017
ACOUSTICS,1,2017
ANATOMY MORPHOLOGY,1,2017
BIOCHEMISTRY MOLECULAR BIOLOGY,1,2017
BIODIVERSITY CONSERVATION,1,2017
BIOMEDICAL SOCIAL SCIENCES,1,2017
CARDIOVASCULAR SYSTEM CARDIOLOGY,1,2017
GENERAL INTERNAL MEDICINE,1,2017
GEOLOGY,1,2017
MECHANICS,1,2017
MEDICAL LABORATORY TECHNOLOGY,1,2017
MUSIC,1,2017
ONCOLOGY,1,2017
PHYSICAL SCIENCES OTHER TOPICS,1,2017
PSYCHIATRY,1,2017
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING,1,2017
RELIGION,1,2017
RESEARCH EXPERIMENTAL MEDICINE,1,2017
RESPIRATORY SYSTEM,1,2017
THERMODYNAMICS,1,2017
COMPUTER SCIENCE,84,2018
MATHEMATICS,60,2018
SOCIOLOGY,43,2018
BUSINESS ECONOMICS,42,2018
SOCIAL SCIENCES OTHER TOPICS,42,2018
BEHAVIORAL SCIENCES,41,2018
PSYCHOLOGY,40,2018
MATHEMATICAL COMPUTATIONAL BIOLOGY,27,2018
SCIENCE TECHNOLOGY OTHER TOPICS,26,2018
ENGINEERING,19,2018
INFORMATION SCIENCE LIBRARY SCIENCE,19,2018
ENVIRONMENTAL SCIENCES ECOLOGY,17,2018
ANTHROPOLOGY,16,2018
SOCIAL ISSUES,16,2018
COMMUNICATION,15,2018
TELECOMMUNICATIONS,15,2018
HEALTH CARE SCIENCES SERVICES,14,2018
GEOGRAPHY,13,2018
EDUCATION EDUCATIONAL RESEARCH,12,2018
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH,12,2018
PEDIATRICS,11,2018
PHYSICS,10,2018
GOVERNMENT LAW,8,2018
MATHEMATICAL METHODS IN SOCIAL SCIENCES,8,2018
DEMOGRAPHY,7,2018
PUBLIC ADMINISTRATION,7,2018
AUTOMATION CONTROL SYSTEMS,6,2018
ETHNIC STUDIES,6,2018
INFECTIOUS DISEASES,6,2018
NEUROSCIENCES NEUROLOGY,6,2018
TOXICOLOGY,6,2018
PSYCHIATRY,5,2018
ROBOTICS,5,2018
FOOD SCIENCE TECHNOLOGY,4,2018
IMMUNOLOGY,4,2018
REPRODUCTIVE BIOLOGY,4,2018
RESEARCH EXPERIMENTAL MEDICINE,4,2018
BIOMEDICAL SOCIAL SCIENCES,3,2018
CHEMISTRY,3,2018
CRIMINOLOGY PENOLOGY,3,2018
CULTURAL STUDIES,3,2018
GENERAL INTERNAL MEDICINE,3,2018
HISTORY,3,2018
PHARMACOLOGY PHARMACY,3,2018
TRANSPORTATION,3,2018
BIODIVERSITY CONSERVATION,2,2018
EVOLUTIONARY BIOLOGY,2,2018
NUTRITION DIETETICS,2,2018
ONCOLOGY,2,2018
OPERATIONS RESEARCH MANAGEMENT SCIENCE,2,2018
OPTICS,2,2018
PATHOLOGY,2,2018
RELIGION,2,2018
SOCIAL WORK,2,2018
SUBSTANCE ABUSE,2,2018
ZOOLOGY,2,2018
AGRICULTURE,1,2018
ARCHAEOLOGY,1,2018
ARTS HUMANITIES OTHER TOPICS,1,2018
BIOCHEMISTRY MOLECULAR BIOLOGY,1,2018
BIOPHYSICS,1,2018
CELL BIOLOGY,1,2018
FAMILY STUDIES,1,2018
FILM RADIO TELEVISION,1,2018
FISHERIES,1,2018
GASTROENTEROLOGY HEPATOLOGY,1,2018
GENETICS HEREDITY,1,2018
LIFE SCIENCES BIOMEDICINE OTHER TOPICS,1,2018
MARINE FRESHWATER BIOLOGY,1,2018
MECHANICS,1,2018
METEOROLOGY ATMOSPHERIC SCIENCES,1,2018
PHILOSOPHY,1,2018
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING,1,2018
SPORT SCIENCES,1,2018
THERMODYNAMICS,1,2018
URBAN STUDIES,1,2018
UROLOGY NEPHROLOGY,1,2018
WOMEN S STUDIES,1,2018
